com_name,cont_name,cont_tel
高州市荷花镇潭坡小学,,0668-6683326
高州市根子镇中间堂小学,,0668-6168168
东莞市石碣镇教育管理中心,,0769-86360636
东源县市场监督管理局,,0762-8832161
高州市劳动就业培训中心,,0668-2890662
江门市江海区礼乐街道中心小学,梁先生,0750-3626622
阳江市阳东区疾病预防控制中心,,0662-6621163
茂名市电白区望夫镇人民政府,,0668-5720039
汕头市龙湖区乡村振兴发展中心,,0754-82772602
广东汕尾红海湾经济开发区农林水和海洋渔业局,,0660-3425938
深圳市宝安区航城润科华府幼儿园,牛屾,18566720884
广州市南沙潭山中学,黄老师,13802849221
深圳市光明区凤凰街道市政管理和建设工程事务中心,曹工,13302316151
广州市花都区融媒体中心,,020-62307905
茂名市电白区旦场镇人民政府,,0668-5821750
遂溪县遂城镇西溪初级中学,黄文春,13553555123
广州市第一中学校,韩主任,020-81944650
东莞市东城教育管理中心,,0769-22453793
东莞市东城教育管理中心,梁先生,0769-22470238
陆丰市卫生健康局,,0660-8989100
佛山市禅城区盈康资产经营有限公司,麦先生,0757-82722520
深圳市莲花北幼儿园,,0755-83187186
东莞市洪梅镇拓展办公室,,0769-81212939
东莞市石排镇田边股份经济联合社,肖工,0769-8657088
高州市荷花镇石双小学,,0668-6627555
广州市黄埔区夏港街社区卫生服务中心,,020-66312120-8023
广州市黄埔泰景幼儿园,汪老师,020-82389883
信宜市地质环境监测站,,0668-8815898
广州文船实业有限公司,李园长,020-82190869
广州市黄埔区姬堂小学,赖老师,020-82387500
东莞市沙田镇教育管理中心,黄瑞敏,13532596008
潮州市潮安区地方公路站,刘工,0768-5810348
鹤山市桃源镇中心小学,黄先生,0750-8212085
饶平县消防救援大队,毛先生,0768-7810351
高州市金山街道鹤山小学,,0668-6693093
广州长岭居,郑雯雯,13762327831
汕尾市生态环境局直属分局,,0660-3569904
广州市白云区消防救援大队,余晓斌,020-36675007
高州市东岸镇射塘小学,,0668-6665608
东莞市建设工程造价管理站,,0769-22207996
中国邮政集团有限公司江门市分公司,林小姐,0750-3500171
茂名市茂南区公馆镇十万七村民委员会,周女士,0668-2336019
佛山珠江传媒电视有限公司南海分公司,何先生,0757-81212773
普宁市工业和信息化局,,0663-2219332
惠州市惠阳区镇隆镇楼寨村观音厅,陈先生,13927343738
中冶建工六公司广州番禺长隆文化中心售楼部,贾文语,15823269713
中冶建工六公司广州番禺长隆文化中心售楼部,贾文语,18306070393
深圳市深汕特别合作区深水水务有限公司,冯工,18126378656
郁南县南江口镇卫生院,,0766-7268703
永济市中山街学校,高先生,0359-8150626
东莞电信股份有限公司东莞分公司,张淑贞,13377697576
东莞市生态环境局大岭山分局,,0769-85612666
广东省消防救援总队特勤大队,廖先生,020-38270999
高州市石仔岭街道石仔岭小学,,18826293547
佛山市交通运输事务中心,,0757-83322304
广州市从化区城市排水有限公司,张工,020-87999103
佛山市禅城区发展和改革局,,0757-83921476
佛山出入境边防检查站,,0757-66673023
广州涉外经济职业技术学院,谭老师,020-36783608
河源市公共资源交易中心,,0762-3828708
揭阳市惠来县农业农村局,方先生,0663-6614938
深圳市深粮置地开发有限公司,,15815533686
龙川县上坪镇人民政府,黄镇长,0762-6561118
东莞市厚街镇人民政府,罗工,0769-81695566
东莞市厚街镇人民政府,刘志标,13809623298
茂名市茂南区镇盛镇人民政府,,0668-2380308
乳源瑶族自治县大桥镇人民政府,,0751-5237885
深圳市大工业区水务有限公司,陈树洪,13631404441
广东葛洲坝肇明高速公路有限公司,孟工,15171774787
广东丰顺经济开发区管理委员会,丘先生,0753-6181809
深圳市宝安区西乡华海金湾幼儿园,牛屾,18566720884
化州市司法局,,0668-7313927
东莞市万江街道坝头股份经济联合社,詹继志,13360666080
龙川县工业园开发有限公司,黄工,0762-2263633
惠东县铁涌镇卫生院,,0752-8356218
中共广州市委老干部局,刘德荣,020-83105449
东莞市大朗镇松柏朗股份经济联合社,刘林庆,0769-83311482
始兴县司前赓靖学校,,0751-3282308
河源市创建全国文明城市工作领导小组办公室,朱先生,0762-3313982
茂名港长兴石化储运有限公司,梁工,0668-3392618
东莞市大岭山镇连平上高田股份经济合作社,欧阳平,13712709888
广州市花都区新雅街新雅小学,徐老师,020-89681877
揭阳市蓝城区龙尾镇水利管理所,林先生,0663-3651941
深圳市光明区汽车城投资有限公司,张必辉,13714039749
珠海格瑞建设开发有限公司,梁翠珊,0756-8134148
深圳市塘下涌股份合作公司,黄志聪,13510713289
揭西县五经富镇文联小学,曾先生,0663-5878303
肇庆新区科技创新创业服务中心,,0758-2588385
广州市启翔房地产开发有限公司,梁工,020-89810175
新兴县城建管理监察大队,,0766-2871178
中国共产党台山市委员会党校,,0750-5522158
中国共产党佛山市顺德区杏坛镇委员会办公室,,0757-27388887
广东机电职业技术学院总务处,骆老师,020-61362121
湛江广垦绿色农产品有限公司,黄秋燕,13553499864
东莞市文化广电旅游体育局东坑执法分局,孔祎晨,13926888883
乐昌市庆云镇中心学校,,13680079718
高州市根子镇柏桥小学,,0668-6168168
广州南沙开发区科技局,,020-84985928
广州市白云区鹤龙街黄边经济联合社,龙工,020-86181968
龙川县住房和城乡建设局,王先生,0762-6880353
饶平县柘林镇下岱村民委员会,陈先生,0768-8745100
珠海高新同创开发有限公司,曾永飞,0756-3923610
深圳市马田下屯股份合作公司,黄小姐,0755-29628107
茂名市为民路小学,,0668-3395702
茂名市茂南区袂花镇人民政府,,0668-2760512
深圳市梅林一村幼儿园,,0755-07558350
深圳市梅林一村幼儿园,,0755-83504035
东莞市莞城农业技术服务中心,,0769-22241496
化州市市场监督管理局,,0668-7379808
珠海市妇幼保健院（珠海市妇女儿童医院）,徐秋瑾,0756-2310427
中国人民解放军广东省军区惠州离职干部休养所,郑助理,13924736340
广东省广新离子束科技有限公司,段工,020-31608874
四会市政务服务数据管理局,,0758-3266733
珠海市斗门区莲洲镇耕管村党群服务中心,林华耀,13823008921
广州市番禺区大龙街竹山村,梁先生,020-84691988
广州市从化区神岗中学,曾主任,020-87826002
东莞市应急管理局东城分局,吴思远,15626105770
江门市新会区大鳌镇新地幼儿园,,0750-6255529
陆丰市文化广电旅游体育局,,0660-8886233
珠海博物馆,陈振忠,0756-3324105
汕尾市消防救援支队,,0660-3386119
阳江市消防救援支队,,0662-3360018
深圳南洋货仓有限公司,李俊学,13428659691
中国共产主义青年团高州市委员会,,0668-6637723
东莞市樟木头镇专职消防队,,0769-87703104
珠海红旗投资控股有限公司,黄伟安,13302870776
湛江市职工服务中心,梁主任,13763051831
丰顺县公路事务中心,王先生,0753-6663693
珠海汇华置地投资有限公司,洪世荣,0756-7228129
佛冈县卫生健康局,,18814142237
普宁市军埠镇大长陇村民委员会,陈先生,0663-2362901
广州市番禺粮食储备有限公司购销分公司,林工,020-34994801
广东巨正建设项目管理有限公司,韩道开,13129218333
揭阳市揭东区曲溪街道港畔经济联合社,江先生,0633-3261443
广东分公司深圳小学,,13702327940
广州铁路对外经济贸易发展有限公司,,020-61337464
深圳市笋岗小学,陈飞强,18607551389
兴宁市业余体育学校,,0753-3387838
蕉岭县退役军人事务局,,0753-7183899
潮州市市场监督管理局枫溪分局,,13560002028
深圳市燕翰实业有限公司,桂工,13926998237
清远市清城区美林湖学校,,13653016640
茂名市生态环境局滨海新区分局,,0668-2821188
东莞市大岭山镇水朗股份经济联合社,黎先生,0769-83351000
阳春市工业和信息化局,,020-38371327
阳春市工业和信息化局,林城锐,0662-7733371
惠州市惠城区芦洲镇卫生院,,0752-2262783
东莞市新东元环保投资有限公司,黎冠东,0769-81219261
江门某部队,,15035622909
乳源瑶族自治县交通运输局,,0751-5366281
广州动车段,,18674752270
博罗县龙溪第二中学,徐先生,0752-6678246
国家税务总局广东潮州经济开发区税务局,严小姐,0768-2856165
惠州市惠城区横沥中学,,0752-2127006
肇庆市高要区卫生健康局,,0758-2721988
佛山市南海区桂城街道卫生和计划生育局,,0757-86793331
龙川县老隆镇维嘉学校,,0762-6992726
梅州市体育彩票管理分中心,,0753-2383345
汕头市数字化城市管理指挥中心,,0754-87290916
广东省机场管理集团韶关丹霞机场有限公司,陈慕来,0751-8707041
广东省人民政府参事室,,020-38319628
中山市石岐区办事处悦来南社区居民委员会,,020-22163396
惠州市生态环境局惠城分局,,020-85208548
揭阳市榕城区仙桥街道办事处古溪初级中学,,0663-8852833
中共惠州市惠阳区委党校,,0752-3115912
邵武市大埠岗镇河源村民委员会,丁先生,18705990777
深圳市宝安区机关第二幼儿园,赖维妙,13827411830
深圳市宝安区机关第二幼儿园,袁方,13923877866
惠州市第二十七小学,,0752-2254112
清远市公路应急抢险中心,,0763-3328678
信宜市总工会,,0668-8880862
汕头市龙湖区妇幼保健计划生育服务中心,,0754-88110510
中共乐昌市委办公室,,13922594610
惠州市惠城区汝湖镇中心小学,,0752-3072223
惠州市惠城区汝湖镇中心小学,,0752-5305866
英德市南华学校,,13824932828
佛山市南海区农业农村局,,0757-86335711
惠州水务集团惠阳水务有限公司,朱先生,0752-3876693
东莞市厚街镇妇女联合会,邓晓婷,13926833788
二连浩特至广州国家高速公路集宁至阿荣旗联络线公主埂至经棚段,符振杨,19943030897
广州市增城市朱村街丹邱村经济联合社,姚工,020-82855488
湛江市公路事务中心,梁生,0759-3177689
东源县建设工程质量检测站,,0762-8831345
佛山市高明区杨和镇人大办公室,,0757-88809073
东莞市麻涌镇第三小学,谢婉冰,18666870833
东莞市东城区第一小学,袁先生,0769-22695745
汕头市潮南区陇田镇大布洋小学,,0754-82217413
揭西县棉湖镇新湖幼儿园,林女士,0663-5221043
广东省广播电视网络股份有限公司斗门分公司,谢绍源,13539592117
中山市圃江文旅传媒发展有限公司,苏倩文,0760-23300222
东莞市市场监督管理局中堂分局,,0769-88115561
中共深圳市宝安区委宣传部,孙巧灵,15986777302
东莞市工商业联合会,,0769-22389661
深圳市龙岗区平湖街道经济科技办公室,张工,0755-85238580
高州市沙田镇畜牧兽医水产站,,18826293547
东莞市莞城第一幼儿园,黄素瑜,13650099279
京山市石龙镇王集小学,李学明,13797908863
深圳市福田区荔园教育集团百花校区附属幼儿园,王红,13691721143
高州市石仔岭街道荔枝圩小学,,0668-6683326
平远县机构编制委员会办公室,,0753-8838333
惠州市第二十五小学,,0752-2254112
惠州市第二十五小学,,0752-2314481
茂名市茂南区袂花镇顿标小学,,0668-2299929
东莞市茶山镇人民代表大会办公室,梁广彭,13580907123
佛山市宏裕资产经营有限公司,陈先生,0757-83311962
茂名市茂南区水务局,李先生,0668-3910616
阳山县艺韵艺术培训中心,,13610584287
汕尾市人才安居有限公司,叶先生,13060505316
珠海索卡置业有限公司,纪铭华,18666146698
潮州市潮安区凤凰镇中心学校,,0768-6781031
高州市曹江镇曹江中心学校,,0668-6888772
廉江市国有资产经营公司,肖先生,13318022077
汕头市龙湖区外砂某单位采购办公室,王先生,18666050678
广州市番禺粮食有限公司市桥分公司,梁工,020-84870510
深圳市燃气集团股份有限公司罗湖分公司,,0755-82286603
广州市越秀区消防救援大队,李参,020-83527440
陆丰市南塘镇中心小学,蔡先生,13828999833
中国十九冶梅州市梅江区芹洋学校,王彬彬,15999506594
东莞市桥头镇教育管理中心,朱先生,0769-83430090
陆丰市南塘幼儿园,邱先生,15889841921
广州市番安驾驶学校有限公司,霍小姐,020-84892221
湛江三高炉全厂,许一强,18840814982
东莞市退役军人服务中心,,0769-22287819
惠州市东江高新科技开发区服务有限公司,董小姐,0752-7387892
始兴县工业和信息化局,,0751-3334579
揭西县电线电缆产业园管理委员会,王小姐,0663-5988688
深圳市龙岗河坪山河流域管理中心,,0755-84629596
深圳市龙岗河坪山河流域管理中心,李工,0755-84640683
深圳市福田区新洲小学,杨老师,0755-83404988
遂溪县文化广电旅游体育局,陈昌文,0759-7762591
肇庆市国家保密局,,0758-2231326
龙川县黄布镇中心小学,,0762-6252390
汕头市统计局,,0754-88970369
东莞市莞城步步高小学,黄炳华,13728160200
徐闻县农业农村局,,0759-4812666
深圳市福田区市政环卫绿化管护中心,,0755-83116998
珠海市斗门区疾病预防控制中心,余婉玲,0756-2782931
江门市江海区政务服务数据管理局,,0750-3862909
东莞市寮步镇下岭贝村新村股份经济合作社,钟生,13538669644
五矿物流园（东莞）有限公司,刘中平,13929415915
东莞市公安局交通警察支队高埗大队,,0769-88870199
东莞市公安局交通警察支队高埗大队,,0769-88872832
河源市国有牛岭水林场,廖先生,0762-4328323
深圳市宝安区西乡街道中心幼儿园,牛屾,18566720884
广东省地方金融监督管理局,,020-83135338
惠州市惠城区龙丰街道办事处社区卫生服务中心,,0752-2506788
广东省能源集团有限公司水电分公司,罗小姐,0762-3302955
深圳市智慧城市大数据中心有限公司,林浩,13166660090
信宜市池洞蒲垌小学,,0668-8636405
深圳市福田区皇岗小学,郭老师,0755-83873979
广东智能无人系统研究院,王海龙,13654525356
广州市黄埔区九佛街枫下村经济联社,冯小姐,13719253410
格力珠海红旗市政道路建设开发有限公司,叶贤聪,0756-8134148
深圳市玉塘田寮股份合作公司,麦先生,13612868822
中冶建工广州番禺长隆项目文化中心售楼部,张舒童,18306070393
陆丰市桥冲镇大塘幼儿园,黄先生,13719521766
深圳市福田区实验教育集团梅香学校,黄老师,0755-82578299
韶关新区市政综合管理中心,,0751-8280317
广州市杏林卫生服务有限责任公司,朱生,020-87469070
深圳市罗湖区合正锦园幼儿园,,15814657398
东莞市寮步镇良边新围股份经济合作社,叶先生,0769-81100321
兴宁市田家炳学校,陈先生,0753-3381028
兴宁市田家炳学校,,0753-3381286
云浮市云城区史志办公室,,0766-8822423
东莞市司法局塘厦分局,李锦河,13538659111
中山复旦联合创新中心,,020-66215500-1653
珠海市东部公路事务中心,冯超,0756-2650012
珠海市东部公路事务中心,缪发明,0756-2650662
珠海市东部公路事务中心,吴娟,07562650030
珠海市东部公路事务中心,曾晓英,18023028002
中共东莞市委组织部党员教育中心,,0769-22836796
中冶建工集团有限公司广东分公司,项目部,13648306600
深圳市龙华区教育科学研究院附属实验学校,吴继承,0755-28082086
怀集县消防救援大队,,0758-5597083
韶关市武江区消防救援大队,,0751-8177579
广东协作项目管理有限公司,杨小姐,0753-25025262
仁化县新时代文明实践中心,,0751-6801030
陆丰市甲东镇人民政府,,0660-8201115
惠州市惠城区马安镇中心小学,,020-85208548
东莞市沙田镇中心小学,,0769-88680912
东莞市沙田镇中心小学,刘美中,13686003360
阳江市阳东区红丰镇中心小学,,0662-6282223-001
怀集县中洲镇泰来学校,,0758-7783008
江门市江海区外海街道直冲村民委员会,余先生,13702582142
阳西县看守所,,0662-5881701
仁化县总工会,,0751-6352255
潮州市潮安区浮洋镇三胜小学,,0768-5225087
阳春市河朗学校,,0662-7870208
清远市高技能公共实训中心,,13926677852
东莞市茶山镇南社股份经济联合社,刘觉孚,0769-86648584
翁源县人民政府办公室,,0751-2503437
潮州市潮安区江东镇下庄小学,,0768-6699378
汕头市潮阳区青山初级中学,,0754-83316519
汕头市潮阳区上堡初级中学,,0754-87617318
汕头市潮阳区谷饶华光小学,,0754-87625330
潮州市湘桥区铁铺卫生院,,18088818508
茂名市电白区小良中学,,0668-2690151
阳山县黎埠镇卫生院,,020-83369202
广东省佛山航道事务中心三水航标与测绘所,,020-28980530
东莞市道滘镇辅警大队,林敏辉,13826966540
佛山市高明区荷城街道敬老院,,0757-88269988
阳春市马水镇中心小学,,0662-7713789
云浮市云新投资控股有限公司,陈先生,0766-8298173
深圳市宝安区拾悦小学,许佳男,15002087598
封开县杏花镇人民政府,,18125250171
平远县疾病预防控制中心,,0753-8828236
徐闻县春光小学,,0759-4889886
茂名市健康教育所,,13929705837
茂名市电白区马踏镇秀田小学,,0668-5430176
阳春市实验小学,,0662-7727832
广州市荔湾区海龙街龙溪股份合作经济联合社,林杰文,020-81607202
汕头市澄海区统计局,,0754-85869719
大埔县公有房屋和保障性住房服务中心,,0753-5524491
四会市地豆镇东和小学,,0758-3751358
韶关市武江区生产力促进中心,,0751-8753108
潮州市潮安区浮洋镇草庵小学,,0768-6816775
佛山泛悦置业有限公司,罗先生,13620891289
清远市信访局,,020-62617178
英德市医疗保障局,,0763-2225385
东莞市大岭山镇太公岭第一股份经济合作社,邝生,0769-83351541
汕头市澄海区农业机械安全监理站,,13715881799
中山市神湾镇海港村民委员会,林先生,0760-86609224
广州市南沙区榄核镇榄核社区居民委员会,刘先生,020-39970918
揭西县市场物业管理中心,,0663-5536345
东莞市粤明新能源热电有限公司,刘雪清,13509846238
高州市东岸镇才口小学,,020-87570312
高州市东岸镇才口小学,,13424001056
高州市东岸镇才口小学,,13711687415
高州市东岸镇才口小学,,15976520067
博罗县泰美中学,周先生,0752-6605589
东莞市茶山镇招商创新局,,0769-83002678
东莞市茶山镇招商创新局,钟志锋,0769-86641636
东莞市松山湖横沥实验学校,吴老师,0769-26621602
博罗县柏塘中学,卢先生,0752-6330195
五华县水寨大道水寨镇人民政府,钟先生,13923031216
深圳市罗湖区翠园东晓中学,林老师,0755-22258364
深圳市罗湖区翠园东晓中学,,13713417270
广州凯得伍号房地产投资有限公司,秦工,18926155477
广州南沙明珠晨曦农业科技有限公司,张工,020-84529387
东莞市自然资源局长安分局,刘先生,0769-81887663
中山市大涌镇城乡建设服务中心,蔡先生,0760-87721721
信宜市贵子镇中心小学,,0668-8798629
佛山市南海区人才研究所,,0757-86328832
深圳市坪山区坪山街道办事处市政服务中心,武工,0755-84601635
揭阳市揭东区玉滘镇新寨村民委员会,林先生,0663-8393885
深圳市平湖群亿铁路仓储装卸运输有限公司,郭先生,0755-61380719
珠海高新区启乐幼儿园,漆老师,0756-3310300
深圳市中科万信实业有限公司,高工,13928792716
广州市城市客运机动车检测有限公司,张远锋,020-86597696
新疆天壹中山工程咨询有限公司,,0906-8826761
揭阳市揭东区曲溪街道圩埔社区居民委员会,曾先生,0663-3261984
广州尚龙置业有限公司,叶工,020-32053161
湛江市第二十八中学,莫先生,0759-8208560
湛江市第二十八中学,莫品林,13828294357
高州市潭头镇顿留小学,,0668-83239723
梅州市梅江公路事务中心,,0753-2138821
梅州市梅江公路事务中心,,0753-2527489
高州市曹江镇罗平小学,,0668-2068116
广州市增城区增江街中心小学,,020-81004201
广州市增城区增江街中心小学,,020-85599560
深圳市罗湖外语初中学校,,13823111528
珠海港环通供应链有限公司,肖梓阳,0756-7229121
中国一冶交通公司中山市中心,,02768868447
肇庆市高要区东区供水公司,李先生,0758-8391919
珠海市西部公路事务中心,黄剑卫,0756-5509303
汕头市澄海区困难职工帮扶中心,,0754-85631909
惠东县大岭春光小学,,13539202891
惠东县大岭大洲小学,,13751560035
茂名高州市东岸镇大村小学,,15976520067
广东省人力资源和社会保障厅政务服务中心,,020-85180120
中共信宜市委党校,,0668-8882636
汕头市潮南区档案馆,,0754-87761592
深圳幼儿园,聂家星,15671582814
中共连南瑶族自治县委机构编制委员会办公室,,0763-8661926
中共连南瑶族自治县委机构编制委员会办公室,,0763-8666670
佛山市汇之源高畅排水管理有限公司,区先生,0757-88862227
深圳市宝安区福海街道中心幼儿园,李淑琴,13715287770
肇庆市高要区莲塘镇中心小学,,0758-2808313
揭阳市榕城区房屋征收管理办公室,,13922686199
海丰县可塘镇财政所,,0660-6361233
中国人民政治协商会议佛山市南海区大沥镇工作委员会办公室,,0757-85774088
高州市农业科学研究所,,0668-6604145
泰和县深圳京华希望小学,罗先生,15170820135
佛山市三水区消防救援大队,,0757-87839123
云浮市云城区粮食储备管理中心,,0766-8822454
韶关市第三中学,,0751-8805002
徐闻县医疗保障局,,0759-4873879
潮阳区谷饶仙波小学,,0754-87619346
中国共产党怀集县纪律检查委员会,,0758-5522392
上海电气风电集团股份有限公司广东分公司,欧先生,020-89816014
东莞市司法局桥头分局,,0769-83341865
中共陆河县委宣传部,,0660-5661144
高州市潭头镇凤坡小学,,0668-83239723
东莞市万江街道新和新洲股份经济合作社,何志江,18826818831
信宜市丁堡镇财政所,,0668-8368295
梅州市梅江区文化馆,,0753-2519822
新兴县簕竹财政所,,0766-2281098
阳山县通儒中学,,13828565863
汕头市潮南区仙城东南初级中学,,0754-89375992
广州广播电视台,陈先生,020-89213344
阳江应用型本科院校筹建办公室,,0662-3313750
陆丰市甲东中学,陈先生,13719591172
新丰县丰城街道办财政所,,0751-2293130
揭西县应急管理局,,0663-5584366
汕尾市红海湾经济开发区政府专职消防队,,0660-6151991
中山市消防救援支队坦洲大队,,0760-86216116
高州市东岸镇河朗坡小学,,0574-65278178
高州市谢鸡镇连桥小学,,020-66215500-1653
信宜市金垌镇径口中心幼儿园,,020-81008496
阳江市阳东区大八镇中心幼儿园,,0662-6200067
阳春市春城林业站,,0662-7771313
广州开发区第二幼儿园,刘老师,020-32197983
饶平县汫洲镇西峡村民委员会,施先生,18098131333
潮州市潮安区金石镇中心学校,,0768-6989823
阳江市江城区工商业联合会,,0662-3299908
汉中市汉台区中山街街道办事处,吴先生,0916-3186127
高州市石板镇高小学,,0668-6450900
高州市石板镇高小学,,0668-6683326
汕头市潮阳区水利工程建设管理服务中心,林工,0754-89392218
饶平县新圩镇渔村基础小学,,020-87519708
东莞水乡特色发展经济区管理委员会城市更新局,,0769-88089131
阳山县档案馆,,0763-7882060
阳春市石望林业站,,0662-7880033
佛冈县公房管理中心,黄先生,0763-4283101
阳山县新供销合新运输有限公司,,0763-7816900
源城区消防救援大队,刘先生,13620242608
茂名市茂南区金塘镇南埜小学,,15915251597
深圳龙岗鼎业村镇银行股份有限公司,钱荣,0755-28990666
高州市东岸镇先坑小学,,020-29031522
东莞市殡葬管理所,,0769-22388495
陆河县河口镇河新小学,,0660-5590116
电子科技大学（深圳）高等研究院,林老师,0755-21031097
电子科技大学（深圳）高等研究院,程秀传,0755-21031167
电子科技大学（深圳）高等研究院,,0755-21033107
电子科技大学（深圳）高等研究院,崔老师,0755-21038985
佛山市南海区桂城街道映月第六小学,,0757-86774404
珠海华铠开发建设有限公司,刘昀昊,0756-8303639
珠海市西部生态环境监测中心,,0756-7768362
广州市增城区朱村街中心小学,,020-81004201
连州市人民代表大会常务委员会办公室,,0763-6636222
仁化县周田镇中心卫生院,,0751-6359123
仁化县周田镇中心卫生院,,0751-6801316
阳春市河口林业站,,0662-7310129
广州市番禺区沙湾镇龙岐螺阳小学,,020-34877515
罗定市科学技术局,,0766-3827602
